timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748179361518,4086,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-9,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4086
1748179361558,4084,Login Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-50,text,false,,2741,0,50,50,http://localhost:8080/api/auth/signin,0,0,4084
1748179361643,4086,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-10,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4086
1748179361753,4070,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-11,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4070
1748179361831,4084,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-12,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4084
1748179361938,4070,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-13,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4070
1748179362048,4069,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-14,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4069
1748179362141,4083,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-15,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4083
1748179362251,4083,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-16,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4082
1748179362328,4069,View Profile,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Profile API Load Test 1-17,text,false,,2741,0,50,50,http://localhost:8080/api/profiles/users/,0,0,4069
